Id;Label;timeset;start;lat;lng
130;Saint James Street;;;51.50678;-0.13959
131;Woolwich;;;51.49138;0.06871
132;Oldget Station;;;51.51452;-0.07588
133;Gloster Road, Kensington;;;51.49459;-0.18264
134;Caulfield Gardens 13, Kensington;;;51.49329;-0.19228
135;"""Daily Telegraph""";;;51.51422;-0.10673
136;Windsor Palace;;;51.483333;-0.604167
137;Little Ryder Street 136, West End;;;51.5136;-0.16198
138;Grosvenor Buildings, Aston, Birmingham;;;52.49702;-1.885616
139;Edgware Road;;;51.51539;-0.16338
140;Canterbury;;;51.274271;1.076003
142;Newhaven;;;50.789799;0.055019
143;Dieppe;;;49.933647;1.088006
144;Brussels;;;50.848235;4.350669
145;Strasburg;;;48.585302;7.734392
146;Geneva;;;46.210542;6.143026
147;Interlaken;;;46.686396;7.863077
148;Meiringen;;;46.727405;8.184481
149;Reichenbach Waterfall;;;46.71456;8.182848
150;Tibet;;;32.090703;88.917014
151;Persia;;;35.695493;51.382897
152;Mecca;;;21.422497;39.82621
153;Hartum;;;15.512194;32.558428
154;Montpellier;;;43.608949;3.879684
141;Paris;;;48.880959;2.35527
